300,10,36.7579384916,0.146027230304,298.009918213,-39.3757705688,-64.3253684052
400,10,36.7579384916,0.146027230304,397.374267578,-53.4576721191,-87.3299596038
500,10,36.7579384916,0.146027230304,496.899810791,-67.5459518433,-110.344970367
650,10,36.7579384916,0.146027230304,646.371276855,-88.7105712891,-144.92008911
300,20,62.6134997833,0.24874289278,296.624450684,-66.7274169922,-109.007788768
400,20,62.6134997833,0.24874289278,395.547851563,-90.6142120361,-148.029930279
500,20,62.6134997833,0.24874289278,494.739257813,-114.518180847,-187.080127339
650,20,62.6134997833,0.24874289278,643.838134766,-150.46736145,-245.807721815
300,40,106.503665298,0.423104121147,294.299499512,-112.515472412,-183.808446403
400,40,106.503665298,0.423104121147,392.485656738,-152.860702515,-249.717551223
500,40,106.503665298,0.423104121147,491.109375,-193.249481201,-315.697798235
650,40,106.503665298,0.423104121147,639.57434082,-254.100906372,-415.106401179
